iter	Passed	Remaining
820	2984	650
821	2988	647
822	2991	643
823	2995	639
824	2998	636
825	3001	632
826	3005	628
827	3008	624
828	3011	621
829	3015	617
830	3018	613
831	3021	610
832	3026	606
833	3029	602
834	3033	599
835	3036	595
836	3039	591
837	3043	588
838	3046	584
839	3049	580
840	3052	577
841	3056	573
842	3059	569
843	3062	566
844	3066	562
845	3069	558
846	3072	555
847	3075	551
848	3079	547
849	3082	543
850	3085	540
851	3089	536
852	3092	532
853	3095	529
854	3098	525
855	3101	521
856	3105	518
857	3108	514
858	3112	510
859	3115	507
860	3118	503
861	3122	499
862	3125	496
863	3128	492
864	3132	488
865	3135	485
866	3138	481
867	3142	477
868	3145	474
869	3148	470
870	3152	466
871	3155	463
872	3158	459
873	3162	455
874	3165	452
875	3168	448
876	3172	444
877	3175	441
878	3178	437
879	3182	434
880	3185	430
881	3189	426
882	3192	422
883	3195	419
884	3198	415
885	3202	412
886	3206	408
887	3209	404
888	3212	401
889	3215	397
890	3219	393
891	3222	390
892	3226	386
893	3229	382
894	3232	379
895	3236	375
896	3240	372
897	3243	368
898	3247	364
899	3250	361
900	3253	357
901	3257	353
902	3260	350
903	3263	346
904	3267	342
905	3270	339
906	3273	335
907	3276	332
908	3280	328
909	3283	324
910	3287	321
911	3290	317
912	3293	313
913	3296	310
914	3300	306
915	3303	302
916	3307	299
917	3310	295
918	3313	292
919	3317	288
920	3320	284
921	3324	281
922	3327	277
923	3331	273
924	3334	270
925	3337	266
926	3340	263
927	3343	259
928	3347	255
929	3350	252
930	3353	248
931	3357	244
932	3360	241
933	3364	237
934	3367	234
935	3370	230
936	3373	226
937	3377	223
938	3380	219
939	3384	216
940	3387	212
941	3390	208
942	3393	205
943	3395	201
944	3398	197
945	3401	194
946	3405	190
947	3408	186
948	3411	183
949	3414	179
950	3417	176
951	3420	172
952	3423	168
953	3427	165
954	3430	161
955	3433	158
956	3436	154
957	3440	150
958	3443	147
959	3446	143
960	3449	139
961	3452	136
962	3455	132
963	3457	129
964	3460	125
965	3464	121
966	3467	118
967	3470	114
968	3473	111
969	3476	107
970	3479	103
971	3482	100
972	3485	96
973	3488	93
974	3491	89
975	3494	85
976	3497	82
977	3500	78
978	3503	75
979	3506	71
980	3509	67
981	3512	64
982	3515	60
983	3518	57
984	3521	53
985	3524	50
986	3527	46
987	3531	42
988	3534	39
989	3537	35
990	3540	32
991	3543	28
992	3547	25
993	3550	21
994	3553	17
995	3556	14
996	3559	10
997	3563	7
998	3566	3
999	3569	0
